hy,nd_id,fl_id,value
358,2,17,12.01
358,3,17,34.75
359,1,17,40.03
359,2,17,9.78
359,3,17,35.95
360,1,17,37.1
360,2,17,11.64
360,3,17,30.86
361,1,17,37.06
361,2,17,9.72
361,3,17,29.47
362,1,17,37.0
362,2,17,10.56
362,3,17,24.74
363,1,17,37.02
363,2,17,14.11
363,3,17,22.95
364,1,17,39.72
364,2,17,16.02
364,3,17,29.58
365,1,17,45.97
365,2,17,24.71
365,3,17,39.73
366,1,17,48.94
366,2,17,34.04
366,3,17,49.49
367,1,17,50.01
367,2,17,37.71
367,3,17,50.71
368,1,17,49.46
368,2,17,36.92
368,3,17,48.98
369,1,17,48.75
369,2,17,37.99
369,3,17,50.54
370,1,17,48.96
370,2,17,39.97
370,3,17,49.76
371,1,17,48.96
371,2,17,39.95
371,3,17,48.43
372,1,17,48.93
372,2,17,40.02
372,3,17,46.17
373,1,17,48.47
373,2,17,41.83
373,3,17,44.99
374,1,17,48.4
374,2,17,44.05
374,3,17,44.05
375,1,17,48.09
375,2,17,47.1
375,3,17,47.1
376,1,17,53.25
376,2,17,52.49
376,3,17,52.49
377,1,17,53.58
377,2,17,53.54
377,3,17,53.54
378,1,17,50.98
378,2,17,48.02
378,3,17,48.02
379,1,17,47.34
379,2,17,41.51
379,3,17,41.51
380,1,17,45.98
380,2,17,37.92
380,3,17,37.92
381,1,17,45.95
381,2,17,35.64
381,3,17,40.64
382,1,17,38.1
382,2,17,28.79
382,3,17,43.18
383,1,17,42.0
383,2,17,29.03
383,3,17,36.54
384,1,17,40.34
384,2,17,27.47
384,3,17,33.17
385,1,17,37.09
385,2,17,28.06
385,3,17,32.26
386,1,17,36.86
386,2,17,27.92
386,3,17,27.92
387,1,17,33.89
387,2,17,27.05
387,3,17,27.05
388,1,17,36.2
388,2,17,27.24
388,3,17,27.24
389,1,17,37.06
389,2,17,27.34
389,3,17,27.41
390,1,17,42.1
390,2,17,27.74
390,3,17,33.17
391,1,17,45.0
391,2,17,29.73
391,3,17,41.99
392,1,17,45.94
392,2,17,35.05
392,3,17,47.44
393,1,17,46.25
393,2,17,38.81
393,3,17,46.57
394,1,17,45.03
394,2,17,38.89
394,3,17,43.39
395,1,17,41.06
395,2,17,34.99
395,3,17,43.0
396,1,17,40.01
396,2,17,31.96
396,3,17,38.08
397,1,17,40.03
397,2,17,30.07
397,3,17,34.5
398,1,17,45.82
398,2,17,31.27
398,3,17,31.27
399,1,17,47.0
399,2,17,33.84
399,3,17,33.84
400,1,17,48.99
400,2,17,42.44
400,3,17,42.44
401,1,17,50.03
401,2,17,44.9
401,3,17,45.84
402,1,17,48.99
402,2,17,34.24
402,3,17,46.43
403,1,17,46.04
403,2,17,28.95
403,3,17,39.96
404,1,17,45.92
404,2,17,27.02
404,3,17,32.6
405,1,17,45.29
405,2,17,27.46
405,3,17,37.78
406,1,17,42.01
406,2,17,24.5
406,3,17,37.78
407,1,17,38.49
407,2,17,23.35
407,3,17,36.24
408,1,17,34.24
408,2,17,21.19
408,3,17,33.8
409,1,17,30.46
409,2,17,22.24
409,3,17,28.75
410,1,17,31.32
410,2,17,22.31
410,3,17,27.57
411,1,17,27.31
411,2,17,22.32
411,3,17,24.34
412,1,17,31.96
412,2,17,22.11
412,3,17,25.68
413,1,17,30.6
413,2,17,14.12
413,3,17,28.79
414,1,17,31.66
414,2,17,15.17
414,3,17,31.41
415,1,17,36.11
415,2,17,19.07
415,3,17,33.0
416,1,17,38.31
416,2,17,24.94
416,3,17,37.23
417,1,17,38.49
417,2,17,27.2
417,3,17,39.07
418,1,17,38.52
418,2,17,28.22
418,3,17,42.44
419,1,17,41.85
419,2,17,28.15
419,3,17,43.33
420,1,17,38.13
420,2,17,27.85
420,3,17,38.25
421,1,17,35.35
421,2,17,28.17
421,3,17,33.88
422,1,17,37.06
422,2,17,29.91
422,3,17,29.91
423,1,17,38.5
423,2,17,30.44
423,3,17,30.44
424,1,17,44.77
424,2,17,38.42
424,3,17,38.42
425,1,17,47.91
425,2,17,42.46
425,3,17,48.95
426,1,17,47.91
426,2,17,39.8
426,3,17,51.02
427,1,17,47.79
427,2,17,30.54
427,3,17,50.62
428,1,17,44.53
428,2,17,30.4
428,3,17,42.44
429,1,17,44.58
429,2,17,31.0
429,3,17,44.94
430,1,17,44.37
430,2,17,28.42
430,3,17,42.51
431,1,17,39.16
431,2,17,27.92
431,3,17,38.24
432,1,17,37.1
432,2,17,27.76
432,3,17,34.9
433,1,17,33.72
433,2,17,28.25
433,3,17,33.04
434,1,17,36.51
434,2,17,28.41
434,3,17,29.53
435,1,17,37.06
435,2,17,28.07
435,3,17,28.07
436,1,17,42.61
436,2,17,29.63
436,3,17,31.17
437,1,17,48.07
437,2,17,42.87
437,3,17,42.87
438,1,17,53.59
438,2,17,52.07
438,3,17,52.07
439,1,17,56.26
439,2,17,56.49
439,3,17,56.49
440,1,17,55.14
440,2,17,52.38
440,3,17,52.38
441,1,17,54.6
441,2,17,48.84
441,3,17,52.34
442,1,17,54.59
442,2,17,47.95
442,3,17,50.68
443,1,17,52.9
443,2,17,44.97
443,3,17,49.31
444,1,17,51.97
444,2,17,47.95
444,3,17,48.84
445,1,17,52.0
445,2,17,47.72
445,3,17,47.72
446,1,17,51.79
446,2,17,47.43
446,3,17,47.43
447,1,17,52.07
447,2,17,48.19
447,3,17,48.19
448,1,17,56.91
448,2,17,52.16
448,3,17,52.16
449,1,17,62.6
449,2,17,56.26
449,3,17,64.7
450,1,17,55.62
450,2,17,52.96
450,3,17,54.91
451,1,17,52.81
451,2,17,45.0
451,3,17,51.04
452,1,17,49.93
452,2,17,40.0
452,3,17,44.36
453,1,17,49.99
453,2,17,37.53
453,3,17,49.5
454,1,17,49.56
454,2,17,31.07
454,3,17,49.86
455,1,17,43.24
455,2,17,31.93
455,3,17,43.02
456,1,17,40.58
456,2,17,31.08
456,3,17,41.33
457,1,17,40.04
457,2,17,29.92
457,3,17,42.02
458,1,17,38.24
458,2,17,29.97
458,3,17,36.28
459,1,17,37.05
459,2,17,31.02
459,3,17,33.41
460,1,17,39.79
460,2,17,34.81
460,3,17,38.71
461,1,17,47.6
461,2,17,39.4
461,3,17,44.67
462,1,17,53.61
462,2,17,53.39
