nd_id,ca_id,swhy_vl,hy,price_eur_mwh,volume_mwh
1,0,yr2015,582,34.17,2435.7
1,0,yr2015,583,36.52,2685.2
1,0,yr2015,584,38.36,2555.7
1,0,yr2015,585,38.59,2616.6
1,0,yr2015,586,39.15,2612.4
1,0,yr2015,587,39.08,2333.4
1,0,yr2015,588,34.99,2372.8
1,0,yr2015,589,32.07,2483.8
1,0,yr2015,590,31.67,2635.9
1,0,yr2015,591,35.02,2675.9
1,0,yr2015,592,45.1,2635.5
1,0,yr2015,593,49.61,2886.0
1,0,yr2015,594,49.9,2862.1
1,0,yr2015,595,47.62,2275.5
1,0,yr2015,596,44.8,2541.5
1,0,yr2015,597,45.02,2350.2
1,0,yr2015,598,39.14,2435.4
1,0,yr2015,599,42.02,2186.8
1,0,yr2015,600,39.07,2379.8
1,0,yr2015,601,37.64,2179.0
1,0,yr2015,602,35.6,2116.9
1,0,yr2015,603,34.56,2435.7
1,0,yr2015,604,38.44,2355.5
1,0,yr2015,605,47.94,2085.8
1,0,yr2015,606,54.08,2776.2
1,0,yr2015,607,58.7,2588.2
1,0,yr2015,608,58.55,2697.1
1,0,yr2015,609,57.02,2584.2
1,0,yr2015,610,54.42,2822.9
1,0,yr2015,611,50.43,2335.0
1,0,yr2015,612,50.33,2447.5
1,0,yr2015,613,51.44,2685.3
1,0,yr2015,614,50.47,2891.0
1,0,yr2015,615,50.44,2901.8
1,0,yr2015,616,54.93,3063.3
1,0,yr2015,617,60.39,2900.8
1,0,yr2015,618,54.68,2938.2
1,0,yr2015,619,50.5,2608.4
1,0,yr2015,620,47.98,2167.5
1,0,yr2015,621,48.07,2083.7
1,0,yr2015,622,47.44,2290.2
1,0,yr2015,623,41.55,1988.1
1,0,yr2015,624,39.45,2140.2
1,0,yr2015,625,38.85,2237.7
1,0,yr2015,626,38.11,2073.3
1,0,yr2015,627,35.89,2020.5
1,0,yr2015,628,39.6,2094.6
1,0,yr2015,629,46.69,2077.4
1,0,yr2015,630,52.94,3665.7
1,0,yr2015,631,55.92,2854.8
1,0,yr2015,632,55.34,2770.7
1,0,yr2015,633,54.71,2707.3
1,0,yr2015,634,53.62,2747.1
1,0,yr2015,635,50.1,2543.2
1,0,yr2015,636,50.04,2414.9
1,0,yr2015,637,50.49,2581.8
1,0,yr2015,638,51.02,2660.3
1,0,yr2015,639,51.98,2541.8
1,0,yr2015,640,52.94,2545.7
1,0,yr2015,641,57.67,2982.0
1,0,yr2015,642,54.73,2927.8
1,0,yr2015,643,49.97,2516.0
1,0,yr2015,644,48.45,2354.7
1,0,yr2015,645,47.04,2388.4
1,0,yr2015,646,46.12,2284.5
1,0,yr2015,647,43.51,2154.1
1,0,yr2015,648,42.02,1995.6
1,0,yr2015,649,40.94,2071.7
1,0,yr2015,650,39.03,2115.6
1,0,yr2015,651,37.45,2044.7
1,0,yr2015,652,42.0,1995.1
1,0,yr2015,653,45.66,1822.1
1,0,yr2015,654,50.03,2131.7
1,0,yr2015,655,51.48,2383.0
1,0,yr2015,656,50.99,2329.6
1,0,yr2015,657,50.92,2361.1
1,0,yr2015,658,49.0,3051.8
1,0,yr2015,659,48.52,2760.2
1,0,yr2015,660,48.54,2984.8
1,0,yr2015,661,50.04,2495.7
1,0,yr2015,662,50.06,2385.0
1,0,yr2015,663,49.92,2525.2
1,0,yr2015,664,49.06,2399.0
1,0,yr2015,665,52.07,2985.3
1,0,yr2015,666,50.26,2903.4
1,0,yr2015,667,48.26,2508.6
1,0,yr2015,668,48.93,2801.8
1,0,yr2015,669,48.49,2746.6
1,0,yr2015,670,45.33,2557.4
1,0,yr2015,671,43.06,2148.9
1,0,yr2015,672,42.02,2222.5
1,0,yr2015,673,40.77,2316.5
1,0,yr2015,674,40.94,2297.4
1,0,yr2015,675,40.07,2136.7
1,0,yr2015,676,42.02,1965.2
1,0,yr2015,677,46.8,2320.9
1,0,yr2015,678,50.93,2328.7
1,0,yr2015,679,53.52,2206.2
1,0,yr2015,680,53.44,2126.7
1,0,yr2015,681,53.93,2217.2
1,0,yr2015,682,53.08,1924.9
1,0,yr2015,683,50.41,2197.6
1,0,yr2015,684,50.34,2234.7
1,0,yr2015,685,50.94,2017.9
1,0,yr2015,686,50.98,1983.2
1,0,yr2015,687,50.91,2098.5
1,0,yr2015,688,50.98,2522.7
